NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Discovery Bay CDP, California",15362,293,6,67,290,523,20,06,19339
"Dixon city, California",19071,588,13,0,481,629,45,06,19402
"Dixon Lane-MeadowCreek CDP, California",3043,26,0,0,0,80,0,06,19406
"Dobbins CDP, California",420,0,0,0,0,29,0,06,19416
"Dogtown CDP, California",2912,66,7,7,41,126,3,06,19440
"Dollar Point CDP, California",1233,60,0,0,41,39,0,06,19455
"Dorrington CDP, California",498,0,0,0,0,0,0,06,19570
"Dorris city, California",832,6,0,0,13,30,0,06,19584
"Dos Palos city, California",5755,0,0,0,15,18,20,06,19612
"Dos Palos Y CDP, California",185,0,0,0,0,0,0,06,19654
"Douglas City CDP, California",1103,14,0,0,8,26,0,06,19724
"Downey city, California",113052,333,329,294,550,731,415,06,19766
"Downieville CDP, California",105,0,0,0,0,0,0,06,19794
"Doyle CDP, California",998,58,0,0,0,136,0,06,19878
"Drytown CDP, California",60,0,0,0,0,0,0,06,19976
"Duarte city, California",21686,62,241,232,131,233,490,06,19990
"Dublin city, California",71068,691,1769,1416,603,1769,4738,06,20018
"Ducor CDP, California",701,0,0,0,0,0,0,06,20032
"Dunnigan CDP, California",1045,37,0,0,60,0,0,06,20228
"Dunsmuir city, California",1756,27,0,0,47,66,0,06,20242
"Durham CDP, California",6337,62,0,0,98,305,0,06,20270
"Dustin Acres CDP, California",529,0,0,0,33,23,0,06,20284
"Dutch Flat CDP, California",104,4,0,0,0,9,0,06,20298
"Eagleville CDP, California",13,0,0,0,0,0,0,06,20424
"Earlimart CDP, California",7674,0,0,0,0,0,0,06,20438
"East Bakersfield CDP, California",10754,47,0,0,40,9,0,06,20515
"Eastern Goleta Valley CDP, California",29563,405,0,0,480,1063,42,06,20574
"East Foothills CDP, California",8270,30,86,122,36,106,77,06,20598
"East Hemet CDP, California",20261,346,29,110,192,549,16,06,20697
"East Los Angeles CDP, California",117222,224,95,76,180,230,64,06,20802
"East Nicolaus CDP, California",163,0,0,0,7,4,0,06,20900
"East Niles CDP, California",29981,57,21,16,137,146,8,06,20903
"East Oakdale CDP, California",2381,25,0,0,52,71,0,06,20907
"Easton CDP, California",2454,8,6,0,30,17,5,06,20928
"East Orosi CDP, California",422,0,0,0,0,0,0,06,20942
"East Palo Alto city, California",29520,403,180,218,154,273,90,06,20956
"East Pasadena CDP, California",5474,21,26,60,123,59,96,06,20984
"East Porterville CDP, California",5424,27,0,0,55,48,0,06,21012
"East Quincy CDP, California",2399,54,0,0,44,184,0,06,21026
"East Rancho Dominguez CDP, California",14924,0,11,0,0,3,0,06,21034
"East Richmond Heights CDP, California",3285,42,12,0,157,146,6,06,21061
"East San Gabriel CDP, California",22654,58,225,401,152,233,755,06,21096
